player_id,team,samples,distance_m,max_speed_mps
314,B,71,231.52,96.72
315,B,70,199.55,14.81
316,B,50,383.82,94.26
317,B,39,182.94,49.21
318,B,9,79.73,73.5
319,B,43,170.36,29.29
320,B,38,203.9,53.05
321,B,1,0.0,0.0
322,B,34,160.65,71.22
323,B,68,424.42,51.14
324,B,21,191.06,38.37
325,B,1,0.0,0.0
326,B,14,63.1,17.71
327,B,1,0.0,0.0
328,B,14,115.15,50.73
329,B,6,7.98,6.07
330,B,1,0.0,0.0
331,B,1,0.0,0.0
332,B,48,240.53,58.14
333,B,12,43.43,9.47
334,B,60,151.93,81.39
335,B,11,115.29,13.92
336,B,2,6.13,6.13
337,B,2,7.97,3.98
338,B,15,154.18,50.8
339,B,32,175.77,13.19
340,B,89,409.66,45.33
341,B,11,70.6,11.98
342,B,5,19.55,16.71
343,B,4,28.72,18.72
344,B,6,11.2,5.5
345,B,32,85.03,12.22
346,B,4,15.17,11.07
347,B,37,158.28,63.96
348,B,1,0.0,0.0
349,B,2,2.9,5.81
350,B,37,115.99,44.81
351,B,1,0.0,0.0
352,B,1,0.0,0.0
353,B,20,80.42,15.41
354,B,90,568.93,112.39
355,B,19,40.24,5.09
356,B,5,75.89,16.29
357,B,20,68.35,13.93
358,B,53,199.19,24.12
359,B,146,670.35,84.78
360,B,57,299.84,109.81
361,B,24,173.98,44.16
362,B,45,262.97,48.17
363,B,1,0.0,0.0
364,B,17,44.38,5.67
365,B,18,178.96,38.92
366,B,16,103.39,25.06
367,B,117,468.5,30.32
368,B,10,63.1,32.51
369,B,12,88.79,24.01
370,B,1,0.0,0.0
371,B,37,218.71,89.96
372,B,16,56.94,20.31
373,B,1,0.0,0.0
374,B,2,0.0,0.0
375,B,4,13.64,2.95
376,B,26,162.21,19.51
377,B,31,156.66,53.57
378,B,25,49.53,17.77
379,B,35,85.25,30.2
380,B,20,57.69,62.99
381,B,25,99.38,34.01
382,B,25,73.82,13.53
383,B,23,98.21,65.98
384,B,22,75.69,12.32
385,B,1,0.0,0.0
386,B,1,0.0,0.0
396,B,1,0.0,0.0
397,B,15,109.84,23.97
398,B,11,12.61,3.38
399,B,14,30.72,21.02
400,B,13,46.66,7.16
401,B,8,6.42,3.66
402,B,13,32.77,19.3
403,B,8,46.67,16.48
404,B,2,1.62,0.81
