frame,image_x,image_y,pitch_x,pitch_y,is_key
271,1324.5,744.1,83.7,30.28,0
272,1322.2,744.0,83.51,30.24,0
273,1319.9,743.9,83.32,30.2,0
274,1317.6,743.8,83.13,30.16,0
275,1315.3,743.7,82.94,30.12,0
276,1313.0,743.6,82.75,30.08,1
277,1311.0,743.5,82.59,30.05,0
278,1309.0,743.5,82.42,30.02,0
279,1307.1,743.4,82.26,29.99,0
280,1305.1,743.3,82.09,29.97,0
281,1303.1,743.2,81.93,29.94,0
282,1301.2,743.1,81.76,29.91,0
283,1299.2,743.1,81.6,29.88,0
284,1297.2,743.0,81.43,29.86,1
285,1296.1,743.3,81.3,29.97,1
286,1299.0,743.8,81.5,30.16,0
287,1301.9,744.2,81.71,30.33,0
288,1304.8,744.7,81.91,30.51,1
289,1299.4,743.6,81.56,30.09,1
290,1300.5,743.7,81.64,30.14,0
291,1301.5,743.9,81.71,30.19,0
292,1302.6,744.0,81.79,30.24,0
293,1303.6,744.1,81.87,30.29,0
294,1304.7,744.3,81.94,30.34,0
295,1305.7,744.4,82.02,30.4,1
296,1306.3,745.0,82.0,30.65,0
297,1307.0,745.7,81.99,30.9,1
298,1307.3,745.2,82.07,30.7,0
299,1307.6,744.7,82.15,30.51,1
300,1278.1,747.9,79.24,31.77,1
301,1299.1,745.5,81.32,30.83,1
302,1294.7,746.1,80.88,31.06,0
303,1290.4,746.6,80.43,31.28,0
304,1286.0,747.2,79.99,31.51,0
305,1281.7,747.8,79.56,31.73,0
306,1277.3,748.4,79.12,31.95,0
307,1272.9,749.0,78.69,32.17,0
308,1268.6,749.5,78.26,32.39,0
309,1264.2,750.1,77.83,32.61,1
310,1260.6,749.7,77.55,32.48,0
311,1257.1,749.4,77.28,32.35,0
312,1253.5,749.0,77.01,32.21,1
313,1249.6,749.5,76.63,32.41,0
314,1245.7,750.0,76.25,32.6,0
315,1241.8,750.5,75.87,32.8,0
316,1238.0,751.0,75.49,32.99,0
317,1234.1,751.6,75.11,33.19,0
318,1230.2,752.1,74.74,33.38,0
319,1226.3,752.6,74.37,33.57,0
320,1222.4,753.1,73.99,33.76,1
321,1218.9,753.5,73.66,33.91,0
322,1215.3,753.9,73.33,34.06,0
323,1211.8,754.3,73.0,34.21,0
324,1208.3,754.7,72.68,34.36,1
325,1205.0,754.9,72.38,34.43,0
326,1201.7,755.1,72.09,34.5,0
327,1198.4,755.3,71.8,34.57,0
328,1195.1,755.5,71.5,34.64,0
329,1191.7,755.6,71.21,34.71,0
330,1188.4,755.8,70.92,34.79,0
331,1185.1,756.0,70.63,34.86,0
332,1181.8,756.2,70.34,34.93,0
333,1178.5,756.4,70.05,35.0,1
334,1176.3,757.5,69.8,35.39,0
335,1174.2,758.6,69.55,35.78,0
336,1172.0,759.7,69.3,36.16,1
337,1170.1,759.9,69.13,36.24,0
338,1168.1,760.2,68.96,36.32,0
339,1166.2,760.4,68.78,36.4,0
340,1164.3,760.6,68.61,36.48,0
341,1162.3,760.8,68.44,36.56,0
342,1160.4,761.0,68.27,36.64,0
343,1158.5,761.3,68.09,36.72,0
344,1156.5,761.5,67.92,36.8,0
345,1154.6,761.7,67.75,36.88,0
346,1152.7,762.0,67.58,36.95,0
347,1150.7,762.2,67.41,37.03,0
348,1148.8,762.4,67.24,37.11,1
349,1146.7,762.8,67.05,37.24,0
350,1144.7,763.1,66.86,37.36,0
351,1142.6,763.5,66.67,37.49,0
352,1140.5,763.9,66.49,37.62,0
353,1138.4,764.2,66.3,37.74,0
354,1136.3,764.6,66.11,37.87,0
355,1134.3,765.0,65.93,37.99,0
356,1132.2,765.3,65.74,38.11,0
357,1130.1,765.7,65.56,38.24,0
358,1128.1,766.1,65.37,38.36,0
359,1126.0,766.4,65.19,38.48,0
360,1123.9,766.8,65.0,38.61,1
361,1117.8,767.2,64.49,38.74,0
362,1111.6,767.6,63.98,38.88,0
363,1105.5,768.0,63.47,39.02,0
364,1099.4,768.4,62.96,39.16,0
365,1093.2,768.8,62.45,39.29,0
366,1087.1,769.2,61.95,39.43,1
367,1082.1,769.2,61.55,39.44,0
368,1077.2,769.2,61.15,39.44,0
369,1072.2,769.2,60.75,39.45,0
370,1067.3,769.2,60.35,39.46,0
371,1062.4,769.2,59.95,39.46,0
372,1057.4,769.2,59.55,39.47,1
373,1053.0,769.4,59.19,39.53,0
374,1048.5,769.5,58.83,39.59,0
375,1044.1,769.7,58.46,39.65,0
376,1039.6,769.9,58.1,39.71,0
377,1035.2,770.1,57.74,39.77,0
378,1030.7,770.2,57.38,39.83,0
379,1026.3,770.4,57.02,39.89,0
380,1021.8,770.6,56.66,39.95,0
381,1017.4,770.8,56.3,40.01,0
382,1012.9,770.9,55.94,40.08,0
383,1008.5,771.1,55.59,40.14,1
384,988.0,776.9,53.95,41.96,1
385,987.4,778.2,53.9,42.36,0
386,986.7,779.5,53.85,42.74,0
387,986.1,780.8,53.81,43.13,0
388,985.5,782.1,53.76,43.51,0
389,984.8,783.4,53.72,43.89,0
390,984.2,784.6,53.67,44.26,0
391,983.6,785.9,53.63,44.63,0
392,982.9,787.2,53.58,45.0,0
393,982.3,788.5,53.54,45.36,0
394,981.7,789.8,53.49,45.72,0
395,981.0,791.1,53.45,46.08,0
396,980.4,792.4,53.41,46.43,1
397,978.7,791.6,53.28,46.23,0
398,976.9,790.9,53.14,46.02,0
399,975.2,790.1,53.01,45.81,0
400,973.5,789.3,52.87,45.6,0
401,971.7,788.6,52.74,45.39,0
402,970.0,787.8,52.6,45.17,1
403,969.0,786.8,52.52,44.9,0
404,968.0,785.9,52.44,44.63,0
405,967.0,784.9,52.35,44.35,0
406,966.0,783.9,52.27,44.08,0
407,965.0,783.0,52.18,43.8,0
408,964.0,782.0,52.1,43.52,1
409,961.0,783.0,51.87,43.8,0
410,957.9,783.9,51.65,44.08,0
411,954.9,784.9,51.42,44.37,0
412,951.8,785.8,51.2,44.64,0
413,948.8,786.8,50.98,44.92,0
414,945.7,787.8,50.76,45.2,0
415,942.6,788.7,50.54,45.47,0
416,939.6,789.7,50.32,45.74,0
417,936.5,790.6,50.11,46.01,0
418,933.5,791.6,49.89,46.28,1
419,921.6,793.7,49.04,46.85,0
420,909.7,795.7,48.2,47.42,1
421,909.3,796.5,48.19,47.63,0
422,908.9,797.3,48.17,47.85,0
423,908.5,798.1,48.16,48.06,0
424,908.1,799.0,48.15,48.27,0
425,907.7,799.8,48.14,48.49,0
426,907.3,800.6,48.13,48.7,0
427,906.9,801.4,48.12,48.9,0
428,906.5,802.2,48.1,49.11,1
429,904.4,802.0,47.95,49.06,0
430,902.2,801.8,47.79,49.02,0
431,900.1,801.6,47.63,48.97,0
432,898.0,801.4,47.47,48.92,1
433,896.0,802.4,47.35,49.18,0
434,894.0,803.5,47.23,49.45,0
435,892.1,804.5,47.12,49.71,0
436,890.1,805.5,47.0,49.97,0
437,888.1,806.5,46.88,50.22,0
438,886.1,807.5,46.77,50.48,0
439,884.2,808.6,46.65,50.73,0
440,882.2,809.6,46.54,50.98,0
441,880.2,810.6,46.43,51.23,0
442,878.2,811.7,46.32,51.48,0
443,876.3,812.7,46.21,51.73,0
444,874.3,813.7,46.1,51.98,1
445,872.5,814.2,45.99,52.1,0
446,870.8,814.8,45.88,52.23,0
447,869.0,815.3,45.77,52.35,0
448,867.3,815.8,45.67,52.48,0
449,865.5,816.3,45.56,52.6,0
450,863.8,816.9,45.46,52.73,0
451,862.0,817.4,45.35,52.85,0
452,860.3,817.9,45.24,52.97,0
453,858.5,818.4,45.14,53.1,0
454,856.8,819.0,45.04,53.22,0
455,855.0,819.5,44.93,53.34,0
456,853.3,820.0,44.83,53.46,1
457,851.6,821.1,44.74,53.72,0
458,849.8,822.3,44.66,53.98,0
459,848.1,823.5,44.58,54.24,0
460,846.4,824.6,44.5,54.5,1
461,848.7,827.1,44.73,55.03,0
462,851.0,829.5,44.96,55.56,0
463,853.3,832.0,45.18,56.07,0
464,855.6,834.4,45.4,56.58,0
465,857.9,836.9,45.62,57.08,0
466,860.2,839.3,45.83,57.58,0
467,862.5,841.8,46.04,58.06,1
468,874.3,852.7,47.04,60.14,1
469,870.6,847.1,46.68,59.09,0
470,866.9,841.5,46.32,58.0,1
471,868.5,843.8,46.48,58.45,0
472,870.1,846.1,46.63,58.9,0
473,871.7,848.5,46.79,59.34,0
474,873.3,850.8,46.94,59.78,0
475,875.0,853.1,47.09,60.21,0
476,876.6,855.4,47.24,60.63,0
477,878.2,857.7,47.38,61.05,0
478,879.8,860.1,47.53,61.47,0
479,881.4,862.4,47.67,61.87,0
480,883.0,864.7,47.81,62.28,1
481,883.8,866.2,47.88,62.53,0
482,884.6,867.6,47.96,62.78,0
483,885.4,869.1,48.03,63.03,0
484,886.2,870.5,48.11,63.27,0
485,887.1,872.0,48.18,63.51,0
486,887.9,873.5,48.25,63.76,0
487,888.7,874.9,48.32,63.99,0
488,889.5,876.4,48.4,64.23,1
489,896.0,872.2,48.71,63.53,0
490,902.5,868.0,49.03,62.81,0
491,909.1,863.8,49.35,62.08,0
492,915.6,859.6,49.69,61.33,0
493,922.1,855.3,50.03,60.56,0
494,928.6,851.1,50.38,59.77,0
495,935.2,846.9,50.74,58.96,0
496,941.7,842.7,51.11,58.13,0
497,948.2,838.5,51.48,57.28,1
498,954.5,837.1,51.88,57.0,0
499,960.9,835.8,52.28,56.71,0
500,967.2,834.4,52.68,56.42,0
501,973.6,833.1,53.09,56.13,0
502,979.9,831.7,53.5,55.84,1
503,983.4,829.8,53.73,55.42,0
504,986.9,827.8,53.95,55.0,0
505,990.3,825.9,54.18,54.58,0
506,993.8,824.0,54.41,54.15,0
507,997.3,822.0,54.65,53.72,0
508,1000.8,820.1,54.88,53.28,0
509,1004.2,818.2,55.12,52.83,0
510,1007.7,816.2,55.37,52.38,0
511,1011.2,814.3,55.61,51.92,0
512,1014.6,812.4,55.86,51.46,0
513,1018.1,810.4,56.11,51.0,0
514,1021.6,808.5,56.37,50.52,1
515,1024.1,807.5,56.55,50.27,0
516,1026.5,806.4,56.73,50.01,0
517,1029.0,805.4,56.91,49.74,0
518,1031.4,804.3,57.1,49.48,0
519,1033.9,803.3,57.28,49.22,0
520,1036.4,802.3,57.47,48.95,0
521,1038.8,801.2,57.66,48.68,0
522,1041.3,800.2,57.85,48.41,0
523,1043.7,799.1,58.04,48.14,0
524,1046.2,798.1,58.23,47.86,1
525,1048.7,797.2,58.43,47.64,0
526,1051.3,796.4,58.62,47.41,0
527,1053.8,795.5,58.82,47.18,0
528,1056.3,794.7,59.02,46.94,0
529,1058.8,793.8,59.22,46.71,0
530,1061.4,793.0,59.42,46.48,0
531,1063.9,792.1,59.63,46.24,1
532,1065.4,791.8,59.74,46.15,0
533,1066.9,791.4,59.86,46.05,0
534,1068.4,791.1,59.98,45.96,0
535,1069.9,790.8,60.1,45.87,0
536,1071.5,790.4,60.22,45.77,0
537,1073.0,790.1,60.34,45.68,0
538,1074.5,789.8,60.46,45.58,0
539,1076.0,789.4,60.58,45.49,0
540,1077.5,789.1,60.7,45.4,1
541,1078.1,789.8,60.73,45.59,0
542,1078.7,790.5,60.76,45.78,0
543,1079.2,791.2,60.78,45.97,0
544,1079.8,791.9,60.81,46.16,0
545,1080.4,792.6,60.84,46.35,0
546,1081.0,793.3,60.87,46.54,0
547,1081.5,794.0,60.89,46.73,0
548,1082.1,794.7,60.92,46.92,0
549,1082.7,795.4,60.95,47.1,1
550,1083.1,796.2,60.96,47.31,0
551,1083.5,797.0,60.97,47.51,0
552,1083.9,797.7,60.98,47.72,0
553,1084.3,798.5,60.99,47.92,0
554,1084.7,799.3,61.01,48.12,0
555,1085.1,800.1,61.02,48.32,0
556,1085.5,800.9,61.03,48.52,0
557,1085.9,801.6,61.04,48.72,0
558,1086.3,802.4,61.05,48.92,0
559,1086.7,803.2,61.06,49.12,0
560,1087.1,804.0,61.07,49.31,0
561,1087.5,804.8,61.08,49.51,0
562,1087.9,805.5,61.1,49.7,0
563,1088.3,806.3,61.11,49.9,0
564,1088.7,807.1,61.12,50.09,1
565,1089.1,808.0,61.13,50.31,0
566,1089.5,808.9,61.13,50.53,0
567,1089.9,809.9,61.14,50.76,0
568,1090.3,810.8,61.15,50.98,0
569,1090.7,811.7,61.16,51.19,0
570,1091.2,812.6,61.17,51.41,0
571,1091.6,813.5,61.18,51.63,0
572,1092.0,814.4,61.18,51.84,0
573,1092.4,815.4,61.19,52.06,0
574,1092.8,816.3,61.2,52.27,0
575,1093.2,817.2,61.21,52.48,0
576,1093.6,818.1,61.22,52.69,1
577,1093.4,818.8,61.19,52.86,0
578,1093.2,819.5,61.16,53.02,0
