frame,time,team,players,centroid_x,centroid_y
544,272.0,B,15,51.947,43.766
546,273.0,B,19,53.131,43.045
547,273.5,B,20,51.409,42.816
549,274.5,B,19,53.436,43.265
550,275.0,B,17,48.075,43.661
551,275.5,B,18,51.045,43.949
552,276.0,B,22,51.844,43.039
553,276.5,B,17,50.39,42.885
554,277.0,B,21,51.445,43.127
555,277.5,B,18,48.213,43.124
556,278.0,B,17,48.656,42.686
557,278.5,B,18,48.114,42.721
558,279.0,B,18,47.794,42.627
559,279.5,B,20,45.081,42.55
560,280.0,B,17,53.636,42.74
561,280.5,B,18,46.352,41.534
562,281.0,B,22,47.259,41.765
563,281.5,B,21,51.912,40.616
565,282.5,B,17,49.739,40.736
566,283.0,B,19,55.432,40.606
567,283.5,B,16,48.709,38.823
571,285.5,B,18,51.86,40.38
573,286.5,B,19,57.244,42.66
574,287.0,B,18,53.482,43.017
575,287.5,B,16,56.59,43.138
576,288.0,B,16,58.337,44.68
577,288.5,B,20,55.742,45.345
578,289.0,B,19,57.637,44.805
579,289.5,B,21,55.468,44.619
580,290.0,B,17,60.647,44.197
581,290.5,B,18,62.716,46.318
583,291.5,B,18,60.421,44.399
584,292.0,B,18,66.413,45.813
585,292.5,B,18,63.284,44.815
586,293.0,B,21,69.327,46.957
587,293.5,B,22,67.356,43.885
589,294.5,B,22,64.525,44.423
590,295.0,B,24,59.76,46.05
591,295.5,B,17,57.651,44.994
592,296.0,B,23,57.832,44.962
593,296.5,B,24,58.0,44.758
594,297.0,B,20,51.284,43.62
595,297.5,B,21,54.39,44.217
596,298.0,B,18,46.243,42.122
597,298.5,B,18,45.023,40.541
598,299.0,B,22,45.152,40.732
599,299.5,B,20,43.514,39.64
600,300.0,B,17,43.906,38.764
601,300.5,B,22,44.819,38.451
602,301.0,B,20,40.795,37.218
603,301.5,B,19,44.049,37.229
604,302.0,B,17,42.181,37.368
606,303.0,B,19,43.088,36.24
607,303.5,B,18,41.664,35.947
608,304.0,B,18,41.731,36.358
609,304.5,B,18,41.579,36.345
610,305.0,B,23,46.804,36.923
611,305.5,B,18,41.467,36.327
612,306.0,B,19,42.422,37.021
613,306.5,B,18,42.675,36.316
614,307.0,B,16,40.81,37.289
615,307.5,B,16,41.196,36.426
617,308.5,B,15,45.17,35.959
618,309.0,B,20,47.07,35.915
620,310.0,B,25,45.214,38.184
621,310.5,B,21,40.437,39.675
622,311.0,B,20,41.522,39.18
623,311.5,B,27,42.446,40.147
624,312.0,B,21,41.806,38.596
625,312.5,B,25,39.568,39.303
626,313.0,B,17,33.861,39.426
628,314.0,B,21,42.211,40.685
629,314.5,B,21,39.722,40.712
630,315.0,B,18,39.903,41.507
631,315.5,B,18,38.398,41.556
632,316.0,B,20,41.548,41.142
633,316.5,B,17,42.215,41.772
634,317.0,B,17,44.426,41.527
635,317.5,B,24,43.141,42.625
636,318.0,B,22,48.491,41.182
638,319.0,B,23,51.421,35.66
642,321.0,B,16,56.148,35.228
643,321.5,B,18,54.938,32.384
644,322.0,B,20,56.863,33.454
645,322.5,B,16,54.373,32.952
646,323.0,B,17,55.264,32.95
647,323.5,B,16,53.417,33.135
651,325.5,B,14,48.625,31.588
