player_id,team,samples,distance_m,max_speed_mps
524,B,92,243.19,31.99
525,B,16,51.96,16.66
526,B,18,60.05,14.77
527,B,8,41.66,14.85
528,B,10,24.09,5.18
529,B,6,25.57,16.31
530,B,3,19.79,35.53
531,B,26,112.84,21.13
532,B,75,243.46,27.79
533,B,202,506.9,32.73
534,B,58,138.65,26.03
535,B,4,14.15,7.6
563,B,47,113.03,16.72
564,B,23,99.23,22.73
565,B,17,81.07,10.6
566,B,1,0.0,0.0
567,B,28,54.3,6.74
568,B,32,124.04,36.43
569,B,116,331.14,26.79
570,B,26,64.91,18.6
571,B,22,101.0,46.72
572,B,41,183.0,52.2
574,B,17,49.01,19.06
575,B,1,0.0,0.0
576,B,23,68.98,12.45
577,B,12,21.19,5.44
578,B,18,36.37,16.82
579,B,1,0.0,0.0
580,B,9,50.16,14.37
608,B,8,36.81,19.24
609,B,3,6.77,1.73
610,B,174,17.17,2.62
611,B,3,11.77,9.81
613,B,3,0.0,0.0
614,B,3,0.0,0.0
615,B,4,0.49,0.12
616,B,117,436.1,61.21
617,B,94,265.31,28.16
618,B,32,97.57,12.74
619,B,61,133.82,44.26
620,B,38,94.61,45.42
621,B,15,60.04,50.16
622,B,53,129.83,22.13
623,B,13,50.36,18.89
624,B,24,89.3,26.36
625,B,9,43.49,55.06
626,B,40,159.47,41.19
627,B,18,33.06,7.91
628,B,15,24.11,6.85
629,B,105,240.19,38.39
630,B,38,114.38,21.07
631,B,6,36.49,17.62
632,B,70,212.81,39.59
633,B,22,49.98,10.36
634,B,19,45.96,30.63
635,B,45,105.46,31.72
636,B,16,57.2,15.73
637,B,28,37.96,5.44
638,B,34,85.51,36.8
639,B,98,219.56,20.1
640,B,61,176.28,45.15
641,B,14,34.61,16.22
642,B,101,239.93,17.75
643,B,67,159.71,13.95
644,B,28,53.34,20.73
645,B,45,76.36,42.84
646,B,102,213.9,19.25
647,B,103,213.83,51.52
648,B,63,54.61,3.49
649,B,20,31.04,6.91
650,B,19,79.03,37.05
651,B,56,119.2,24.38
652,B,63,238.54,73.22
653,B,1,0.0,0.0
654,B,1,0.0,0.0
655,B,1,0.0,0.0
656,B,7,1.78,1.26
657,B,61,110.62,20.97
658,B,48,93.42,11.72
659,B,37,88.18,8.18
660,B,25,100.3,28.99
661,B,1,0.0,0.0
662,B,1,0.0,0.0
663,B,1,0.0,0.0
664,B,1,0.0,0.0
665,B,43,90.47,40.17
666,B,35,44.41,15.98
667,B,16,59.86,26.32
668,B,20,45.69,23.51
669,B,5,14.18,23.25
670,B,2,0.98,1.96
671,B,51,57.49,4.98
672,B,25,65.04,30.46
673,B,18,47.05,12.31
674,B,45,130.54,51.08
675,B,37,86.51,18.92
676,B,41,119.26,38.44
677,B,28,96.27,49.7
678,B,4,33.17,23.57
679,B,26,75.91,16.04
680,B,24,101.71,24.22
681,B,7,23.86,22.3
682,B,29,53.31,17.06
683,B,31,36.68,5.68
684,B,1,0.0,0.0
685,B,14,42.68,40.81
686,B,9,28.9,11.94
687,B,2,10.29,2.29
688,B,2,0.33,0.67
689,B,3,0.0,0.0
690,B,2,3.24,2.16
