frame,time,team,players,centroid_x,centroid_y
777,388.5,B,25,48.114,39.933
778,389.0,B,19,42.764,41.359
779,389.5,B,23,46.229,40.385
780,390.0,B,19,43.46,41.018
781,390.5,B,17,44.329,41.17
782,391.0,B,29,46.399,37.996
783,391.5,B,19,48.164,38.877
792,396.0,B,14,59.545,40.891
794,397.0,B,17,64.847,40.059
796,398.0,B,23,68.612,42.575
797,398.5,B,17,67.322,42.23
798,399.0,B,19,69.006,41.447
801,400.5,B,18,67.712,42.424
802,401.0,B,19,68.879,41.958
806,403.0,B,17,62.719,40.646
807,403.5,B,16,64.42,41.479
808,404.0,B,18,61.331,40.673
809,404.5,B,19,62.084,42.856
810,405.0,B,22,62.751,44.731
811,405.5,B,17,60.207,44.507
812,406.0,B,22,62.959,47.719
813,406.5,B,21,62.655,49.46
814,407.0,B,26,65.047,48.759
815,407.5,B,20,64.549,49.595
816,408.0,B,25,64.811,48.844
817,408.5,B,24,64.03,50.351
820,410.0,B,19,61.802,49.024
822,411.0,B,19,61.416,49.619
823,411.5,B,18,60.817,49.473
824,412.0,B,20,61.023,47.9
825,412.5,B,19,59.687,48.166
826,413.0,B,19,59.213,48.194
827,413.5,B,19,57.835,47.913
828,414.0,B,21,54.749,48.613
829,414.5,B,27,54.982,44.279
830,415.0,B,18,54.615,46.839
831,415.5,B,17,53.304,47.187
832,416.0,B,18,53.605,47.3
833,416.5,B,15,52.73,49.513
834,417.0,B,17,52.225,48.085
837,418.5,B,19,52.224,49.391
838,419.0,B,20,51.622,47.727
839,419.5,B,26,55.256,44.991
843,421.5,B,19,51.294,50.86
846,423.0,B,24,50.408,50.25
847,423.5,B,18,50.342,49.186
851,425.5,B,21,50.658,50.239
852,426.0,B,26,53.273,48.735
853,426.5,B,18,52.583,47.816
854,427.0,B,17,51.91,47.395
855,427.5,B,22,55.617,42.958
856,428.0,B,20,55.051,45.211
857,428.5,B,21,56.398,43.288
858,429.0,B,23,57.457,43.414
860,430.0,B,18,56.634,46.654
861,430.5,B,21,60.392,45.948
867,433.5,B,17,68.383,46.853
868,434.0,B,20,69.757,45.351
870,435.0,B,24,72.453,44.531
872,436.0,B,18,72.917,43.891
875,437.5,B,20,72.983,44.253
878,439.0,B,20,73.992,44.59
880,440.0,B,20,71.486,45.139
881,440.5,B,22,71.56,48.062
882,441.0,B,19,70.085,47.324
883,441.5,B,18,68.451,48.384
884,442.0,B,20,69.012,48.07
886,443.0,B,23,69.215,47.998
888,444.0,B,21,68.138,50.348
890,445.0,B,29,63.449,50.087
891,445.5,B,22,65.132,50.615
892,446.0,B,24,64.037,51.09
893,446.5,B,32,65.117,51.433
894,447.0,B,24,66.904,50.174
895,447.5,B,29,63.141,50.126
896,448.0,B,23,63.194,51.581
897,448.5,B,20,64.066,51.458
898,449.0,B,21,62.538,51.164
899,449.5,B,27,61.234,49.302
900,450.0,B,30,59.454,51.522
901,450.5,B,22,56.062,49.673
902,451.0,B,23,60.356,51.032
903,451.5,B,21,59.314,51.897
904,452.0,B,21,57.828,50.306
905,452.5,B,24,59.006,49.65
906,453.0,B,22,55.48,49.335
907,453.5,B,28,58.098,48.565
908,454.0,B,18,57.014,48.153
911,455.5,B,15,58.481,47.806
913,456.5,B,22,57.324,49.766
915,457.5,B,22,58.975,51.482
916,458.0,B,19,58.56,49.304
917,458.5,B,18,56.948,48.438
918,459.0,B,22,56.518,50.118
919,459.5,B,21,56.777,48.074
921,460.5,B,26,59.793,46.474
922,461.0,B,19,58.434,45.922
923,461.5,B,18,59.597,47.075
924,462.0,B,24,61.643,47.695
925,462.5,B,25,62.294,47.584
929,464.5,B,23,64.859,49.423
930,465.0,B,20,65.143,46.228
931,465.5,B,22,67.108,47.307
932,466.0,B,17,66.912,47.451
933,466.5,B,19,68.727,46.626
934,467.0,B,28,70.437,50.625
937,468.5,B,18,68.793,49.143
938,469.0,B,22,67.002,49.754
939,469.5,B,20,69.212,49.938
940,470.0,B,19,67.677,46.325
