frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
197,8.211,黒,黒3,1462.5,761.3,92.994,36.367,1,1
198,8.253,黒,黒3,1463.1,761.2,93.068,36.318,1,1
199,8.294,黒,黒3,1464.1,761.1,93.155,36.293,1,1
200,8.336,黒,黒3,1464.6,760.9,93.223,36.232,1,1
201,8.378,黒,黒3,1465.0,760.8,93.265,36.208,1,1
202,8.419,黒,黒3,1465.3,760.7,93.308,36.165,1,1
203,8.461,黒,黒3,1465.5,760.6,93.337,36.142,1,1
204,8.503,黒,黒3,1465.6,760.4,93.38,36.068,1,1
205,8.544,黒,黒3,1465.6,760.5,93.363,36.096,1,1
206,8.586,黒,黒3,1465.6,760.8,93.325,36.191,1,1
207,8.628,黒,黒3,1465.5,760.8,93.316,36.194,1,1
208,8.669,黒,黒3,1465.2,760.2,93.381,35.986,1,1
209,8.711,黒,黒3,1464.8,759.8,93.414,35.843,1,1
210,8.753,黒,黒3,1464.5,759.7,93.407,35.806,1,1
211,8.794,黒,黒3,1464.4,759.6,93.403,35.794,1,1
212,8.836,黒,黒3,1464.2,759.6,93.395,35.778,1,1
213,8.878,黒,黒3,1464.1,759.7,93.363,35.829,1,1
214,8.92,黒,黒3,1464.0,760.2,93.284,35.978,1,1
215,8.961,黒,黒3,1463.8,760.6,93.205,36.121,1,1
216,9.003,黒,黒3,1463.6,761.1,93.112,36.301,1,1
217,9.045,黒,黒3,1463.4,761.3,93.074,36.357,1,1
218,9.086,黒,黒3,1463.2,761.2,93.059,36.346,1,1
219,9.128,黒,黒3,1462.9,761.3,93.026,36.378,1,1
220,9.17,黒,黒3,1462.7,761.4,92.997,36.4,1,1
221,9.211,黒,黒3,1462.6,761.4,92.986,36.407,1,1
222,9.253,黒,黒3,1462.6,761.4,92.984,36.414,1,1
223,9.295,黒,黒3,1462.6,761.4,92.987,36.408,1,1
224,9.336,黒,黒3,1462.5,761.4,92.981,36.399,1,1
225,9.378,黒,黒3,1462.4,761.4,92.969,36.409,1,1
226,9.42,黒,黒3,1462.3,761.4,92.966,36.401,1,1
227,9.461,黒,黒3,1462.2,761.4,92.948,36.418,1,1
228,9.503,黒,黒3,1462.0,761.5,92.932,36.421,1,1
229,9.545,黒,黒3,1461.9,761.4,92.925,36.418,1,1
230,9.586,黒,黒3,1461.9,761.3,92.943,36.383,1,1
231,9.628,黒,黒3,1462.0,761.2,92.962,36.343,1,1
